check_id	surface	status	expected	observed	detail
input-checksum:sequences.fasta	input-checksum	passed	a3a401e5ab1e9c76e7b0793c86c69708186a550fadb2931fa6d66af61ceb6236	a3a401e5ab1e9c76e7b0793c86c69708186a550fadb2931fa6d66af61ceb6236	sequences.fasta matches the checksum recorded in workflow-config.resolved.json
input-checksum:metadata.csv	input-checksum	passed	cca2178210f8c8b9850b0773228fbc5bb26d2c363db8d115b2996df9399111f2	cca2178210f8c8b9850b0773228fbc5bb26d2c363db8d115b2996df9399111f2	metadata.csv matches the checksum recorded in workflow-config.resolved.json
workflow-manifest:changed_clades	workflow-manifest	passed	a9df7197e52f84272b6f4fd29091ff5ed8dc2105e1829e954f8e4ecebd73a5bf	a9df7197e52f84272b6f4fd29091ff5ed8dc2105e1829e954f8e4ecebd73a5bf	changed_clades matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:conclusion_summary	workflow-manifest	passed	4e7aabca06fecb33b83da7d623e7d110a72bf41e2a1175d4a8608ca32442e94f	4e7aabca06fecb33b83da7d623e7d110a72bf41e2a1175d4a8608ca32442e94f	conclusion_summary matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:config	workflow-manifest	passed	5dd5360de532fb56dbcb692abd39f84c850dca83095841692dbff887218f0f48	5dd5360de532fb56dbcb692abd39f84c850dca83095841692dbff887218f0f48	config matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:execution_record	workflow-manifest	passed	3f28c8b9b3f2583625a749ae1b4200c73ca5a73f3bfb52b79a76939ad99f7e92	3f28c8b9b3f2583625a749ae1b4200c73ca5a73f3bfb52b79a76939ad99f7e92	execution_record matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:parallel_summary	workflow-manifest	passed	c3fc0e61aa6e70588a634914dfed2e8ecf36608445ac8d484c7b0fb8c2624be1	c3fc0e61aa6e70588a634914dfed2e8ecf36608445ac8d484c7b0fb8c2624be1	parallel_summary matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:preprocessing_comparison	workflow-manifest	passed	6949dfccbecc47cd8d67fe2c35a1b446b01b503096f24703ced81ef43b97c76d	6949dfccbecc47cd8d67fe2c35a1b446b01b503096f24703ced81ef43b97c76d	preprocessing_comparison matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:slurm_array_members	workflow-manifest	passed	7b285db29be2182511bf2ffa16c1fec9eeb67346c0297d7c8442ac2f5a45c9f1	7b285db29be2182511bf2ffa16c1fec9eeb67346c0297d7c8442ac2f5a45c9f1	slurm_array_members matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:slurm_array_partitions	workflow-manifest	passed	1cd998ff61248f071e0add5626ed5cc776a0e9588430decee5e76304b4010c67	1cd998ff61248f071e0add5626ed5cc776a0e9588430decee5e76304b4010c67	slurm_array_partitions matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:slurm_array_scripts_root	workflow-manifest	passed	directory exists	present	slurm_array_scripts_root resolves to an existing directory
workflow-manifest:slurm_array_strategy	workflow-manifest	passed	74bafc6e0d54269c3ef7c260cb5392a714e063018737a26dca841d20f42786bb	74bafc6e0d54269c3ef7c260cb5392a714e063018737a26dca841d20f42786bb	slurm_array_strategy matches the checksum recorded in rabies-method-sensitivity.manifest.json
workflow-manifest:slurm_assumptions	workflow-manifest	passed	61d7325fdb62cd5bb661d407807e7c98c34dae95ceec9d2bb9ff3293d9a6e429	61d7325fdb62cd5bb661d407807e7c98c34dae95ceec9d2bb9ff3293d9a6e429	slurm_assumptions matches the checksum recorded in rabies-method-sensitivity.manifest.json
